[Gene ID]	[Transcript ID]	[Product Description]	[Gene Type]	[Gene Name or Symbol]	[Entrez Gene ID]	[UniProt ID]	
PF3D7_0718600	PF3D7_0718600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654963	Q8IBR5	
PF3D7_0718700	PF3D7_0718700.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655119	Q8IBR4	
PF3D7_0718800	PF3D7_0718800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655120	C0H4N6	
PF3D7_0718900	PF3D7_0718900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654964	C0H4N7	
PF3D7_0719000	PF3D7_0719000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654965	Q8IBR1	
PF3D7_0719100	PF3D7_0719100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654966	Q8IBR0	
PF3D7_0719200	PF3D7_0719200.1	NIMA related kinase 4	protein coding	NEK4	2654953	C0H4N8	
PF3D7_0719300	PF3D7_0719300.1	actin-related protein, putative	protein coding	ARP6	2655121	Q8IBQ9	
PF3D7_0719400	PF3D7_0719400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654955	Q8IBQ8	
PF3D7_0719500	PF3D7_0719500.1	LEM3/CDC50 family protein, putative	protein coding	N/A	2655122	Q8IBQ7	
PF3D7_0719600	PF3D7_0719600.1	60S ribosomal protein L11a, putative	protein coding	N/A	2655123	Q8IBQ6	
PF3D7_0719700	PF3D7_0719700.1	40S ribosomal protein S10, putative	protein coding	N/A	2655124	Q8IBQ5	
PF3D7_0719800	PF3D7_0719800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655125	Q8IBQ4	
PF3D7_0719900	PF3D7_0719900.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655126	Q8IBQ3	
PF3D7_0720000	PF3D7_0720000.1	exosome complex component CSL4, putative	protein coding	CSL4	2654956	Q8IBQ2	
PF3D7_0720100	PF3D7_0720100.1	small subunit rRNA processing protein, putative	protein coding	N/A	2655127	Q8IBQ1	
PF3D7_0720200	PF3D7_0720200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655128	Q8IBQ0	
PF3D7_0720300	PF3D7_0720300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654958	Q8IBP9	
PF3D7_0720400	PF3D7_0720400.1	ferrodoxin reductase-like protein	protein coding	N/A	2655129	Q8IBP8	
PF3D7_0720500	PF3D7_0720500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654959	C0H4N9	
PF3D7_0720600	PF3D7_0720600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655190	Q8IBP6	
PF3D7_0720700	PF3D7_0720700.1	phosphoinositide-binding protein, putative	protein coding	N/A	2654930	Q8IBP4	
PF3D7_0720800	PF3D7_0720800.1	Ham1-like protein, putative	protein coding	N/A	2654932	Q8IBP3	
PF3D7_0720900	PF3D7_0720900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654933	Q8IBP2	
PF3D7_0721000	PF3D7_0721000.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655130	Q8IBP1	
PF3D7_0721100	PF3D7_0721100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655131	Q8IBP0	
PF3D7_0721200	PF3D7_0721200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654934	Q8IBN9	
PF3D7_0721300	PF3D7_0721300.1	ATP-dependent RNA helicase DBP7, putative	protein coding	DBP7	2654935	Q8IBN8	
PF3D7_0721400	PF3D7_0721400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654936	Q8IBN7	
PF3D7_0721500	PF3D7_0721500.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2654937	Q8IBN6	
PF3D7_0721600	PF3D7_0721600.1	40S ribosomal protein S5, putative	protein coding	N/A	2655132	Q8IBN5	
PF3D7_0721700	PF3D7_0721700.1	secreted ookinete protein, putative	protein coding	PSOP1	2655133	Q8IBN4	
PF3D7_0721800	PF3D7_0721800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655183	Q8IBN3	
PF3D7_0721900	PF3D7_0721900.1	V-type ATPase V0 subunit e, putative	protein coding	N/A	9221872	C0H4P0	
PF3D7_0722000	PF3D7_0722000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655134	Q8IBN2	
PF3D7_0722100	PF3D7_0722100.1	PelOta protein homologue, putative	protein coding	N/A	2655184	Q8I6Z3	
PF3D7_0722200	PF3D7_0722200.1	rhoptry-associated leucine zipper-like protein 1	protein coding	RALP1	2655185	Q8IBN1	
PF3D7_0722300	PF3D7_0722300.1	ubiquitin carboxyl-terminal hydrolase, putative	protein coding	N/A	2655187	Q8IBN0	
PF3D7_0722400	PF3D7_0722400.1	Obg-like ATPase 1, putative	protein coding	OLA1	2655188	Q8IBM9	
PF3D7_0722500	PF3D7_0722500.1	pre-mRNA-splicing factor CWC15, putative	protein coding	CWC15	2655135	Q8IBM8	
PF3D7_0722600	PF3D7_0722600.1	U3 small nucleolar RNA-associated protein 7, putative	protein coding	UTP7	2655136	Q8IBM7	
PF3D7_0722700	PF3D7_0722700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655137	Q8IBM6	
PF3D7_0722800	PF3D7_0722800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655138	Q8IBM5	
PF3D7_0722900	PF3D7_0722900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655189	Q8IBM4	
PF3D7_0723000	PF3D7_0723000.1	tRNAHis guanylyltransferase, putative	protein coding	N/A	2655139	Q8IBM3	
PF3D7_0723100	PF3D7_0723100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655140	Q8IBM2	
PF3D7_0723200	PF3D7_0723200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655147	Q8IBM1	
PF3D7_0723300	PF3D7_0723300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655148	Q8IBM0	
PF3D7_0723400	PF3D7_0723400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655141	Q8IBL9	
PF3D7_0723500	PF3D7_0723500.1	dynactin subunit 5, putative	protein coding	N/A	2655142	Q8IBL8	
PF3D7_0723600	PF3D7_0723600.1	proteasome assembly chaperone 4, putative	protein coding	N/A	2655143	Q8IBL7	
PF3D7_0723700	PF3D7_0723700.1	metallo-hydrolase/oxidoreductase, putative	protein coding	N/A	2655144	Q8IBL6	
PF3D7_0723800	PF3D7_0723800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655145	Q8IBL5	
PF3D7_0723900	PF3D7_0723900.1	RNA-binding protein, putative	protein coding	N/A	2655149	Q8IBL4	
PF3D7_0724000	PF3D7_0724000.1	Rab GTPase activator and protein kinase, putative	protein coding	N/A	2655150	C0H4P1	
PF3D7_0724100	PF3D7_0724100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655152	Q8IBL1	
PF3D7_0724200	PF3D7_0724200.1	type 2A phosphatase-associated protein 42, putative	protein coding	TAP42	2655146	Q8IBL0	
PF3D7_0724300	PF3D7_0724300.1	3-demethylubiquinone-9 3-methyltransferase, putative	protein coding	COQ3	2655154	Q8IBK9	
PF3D7_0724400	PF3D7_0724400.1	mitochondrial import inner membrane translocase subunit TIM14, putative	protein coding	PAM18	2655156	Q8IBK8	
PF3D7_0724500	PF3D7_0724500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655155	Q8IBK7	
PF3D7_0724600	PF3D7_0724600.1	protein kinase, putative	protein coding	N/A	2655078	Q8IBK6	
PF3D7_0724700	PF3D7_0724700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655080	C0H4P2	
PF3D7_0724800	PF3D7_0724800.1	kelch domain-containing protein, putative	protein coding	N/A	2655081	Q8IBK3	
PF3D7_0724900	PF3D7_0724900.1	kinesin-19, putative	protein coding	N/A	2655157	Q8IBK2	
PF3D7_0725000	PF3D7_0725000.1	exonuclease I, putative	protein coding	N/A	2655158	Q8IBK1	
PF3D7_0725100	PF3D7_0725100.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655082	Q8IBK0	
PF3D7_0725200	PF3D7_0725200.1	mago nashi protein homologue, putative	protein coding	N/A	2655083	Q8IBJ9	
PF3D7_0725300	PF3D7_0725300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655159	Q8IBJ8	
PF3D7_0725400	PF3D7_0725400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655085	Q8IBJ7	
PF3D7_0725600	PF3D7_0725600.1	18S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0725700	PF3D7_0725700.1	unspecified product	rRNA encoding	N/A	N/A	N/A	
PF3D7_0725800	PF3D7_0725800.1	5.8S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0725900	PF3D7_0725900.1	unspecified product	rRNA encoding	N/A	N/A	N/A	
PF3D7_0726000	PF3D7_0726000.1	28S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0726100	PF3D7_0726100.1	Plasmodium exported protein, unknown function	protein coding	N/A	2655160	Q8IBJ5	
PF3D7_0726200	PF3D7_0726200.1	serine/threonine protein kinase, FIKK family	protein coding	FIKK7.1	2655087	C0H4P3	
PF3D7_0726300	PF3D7_0726300.1	DNA mismatch repair protein PMS1, putative	protein coding	PMS1	2655088	Q8IBJ3	
PF3D7_0726400	PF3D7_0726400.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655089	C0H4P4	
PF3D7_0726500	PF3D7_0726500.1	ubiquitin carboxyl-terminal hydrolase, putative	protein coding	N/A	2655023	Q8IBJ1	
PF3D7_0726600	PF3D7_0726600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655161	Q8IBJ0	
PF3D7_0726700	PF3D7_0726700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655162	Q8IBI9	
PF3D7_0726800	PF3D7_0726800.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1, putative	protein coding	DAD1	9221909	C0H4P5	
PF3D7_0726900	PF3D7_0726900.1	mitochondrial import inner membrane translocase subunit TIM50, putative	protein coding	TIM50	2655163	Q8IBI8	
PF3D7_0727000	PF3D7_0727000.1	vacuolar protein sorting-associated protein 53, putative	protein coding	VPS53	2655164	Q8IBI7	
PF3D7_0727100	PF3D7_0727100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655024	C0H4P6	
PF3D7_0727200	PF3D7_0727200.1	cysteine desulfurase, putative	protein coding	NFS	2655026	Q8IBI5	
PF3D7_0727300	PF3D7_0727300.1	DNA (cytosine-5)-methyltransferase	protein coding	DNMT	2655027	Q8IBI4	
PF3D7_0727400	PF3D7_0727400.1	proteasome subunit alpha type-5, putative	protein coding	N/A	2655165	Q8IBI3	
PF3D7_0727500	PF3D7_0727500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655166	Q8IBI2	
PF3D7_0727600	PF3D7_0727600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655028	C0H4P7	
PF3D7_0727700	PF3D7_0727700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655167	Q8IBI0	
PF3D7_0727800	PF3D7_0727800.1	cation transporting ATPase, putative	protein coding	N/A	2655168	Q8IBH9	
PF3D7_0727900	PF3D7_0727900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655169	Q8IBH8	
PF3D7_0728000	PF3D7_0728000.1	eukaryotic translation initiation factor 2 subunit alpha, putative	protein coding	N/A	2655170	Q8IBH7	
PF3D7_0728100	PF3D7_0728100.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655171	Q8IBH6	
PF3D7_0728200	PF3D7_0728200.1	actin-like protein, putative	protein coding	ALP3	2655029	Q8IBH5	
PF3D7_0728300	PF3D7_0728300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655172	Q8IBH4	
PF3D7_0728400	PF3D7_0728400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655030	Q8IBH3	
PF3D7_0728400	PF3D7_0728400.2	conserved Plasmodium protein, unknown function	protein coding	N/A	2655030	Q8IBH3	
PF3D7_0728500	PF3D7_0728500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221873	C0H4P8	
PF3D7_0728600	PF3D7_0728600.1	zinc finger, C3HC4 type, putative	protein coding	N/A	2655031	Q8IBH2	
PF3D7_0728700	PF3D7_0728700.1	alpha/beta hydrolase, putative	protein coding	N/A	2655032	Q8IBH1	
PF3D7_0728800	PF3D7_0728800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655033	Q8IBH0	
PF3D7_0728900	PF3D7_0728900.1	RNA-binding protein, putative	protein coding	N/A	9221874	C0H4P9	
PF3D7_0729000	PF3D7_0729000.1	signal recognition particle subunit SRP9	protein coding	SRP9	2655034	C0H4Q0	
PF3D7_0729100	PF3D7_0729100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655173	C0H4Q1	
PF3D7_0729200	PF3D7_0729200.1	1-cys peroxiredoxin	protein coding	AOP	2655035	Q5MYR6	
PF3D7_0729300	PF3D7_0729300.1	60S ribosomal export protein NMD3, putative	protein coding	NMD3	2655174	Q8IBG6	
PF3D7_0729400	PF3D7_0729400.1	ribosome biogenesis protein BRX1 homolog, putative	protein coding	N/A	2655175	Q8IBG5	
PF3D7_0729500	PF3D7_0729500.1	mRNA (N6-adenosine)-methyltransferase, putative	protein coding	N/A	2655176	Q8I6Z2	
PF3D7_0729600	PF3D7_0729600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655037	Q8IBG4	
PF3D7_0729700	PF3D7_0729700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655177	Q8IBG3	
PF3D7_0729800	PF3D7_0729800.1	dynein light chain, putative	protein coding	N/A	2655038	Q8IBG2	
PF3D7_0729900	PF3D7_0729900.1	dynein heavy chain, putative	protein coding	N/A	2654986	Q8IBG1	
PF3D7_0730000	PF3D7_0730000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654987	Q8IBG0	
PF3D7_0730100	PF3D7_0730100.1	tRNA pseudouridine synthase D, putative	protein coding	N/A	2655178	Q8IBF9	
PF3D7_0730200	PF3D7_0730200.1	AP-4 complex subunit beta, putative	protein coding	N/A	2654988	Q8IBF8	
PF3D7_0730300	PF3D7_0730300.1	transcription factor with AP2 domain(s)	protein coding	AP2-L	2655179	Q8IBF6	
PF3D7_0730400	PF3D7_0730400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655180	Q8IBF5	
PF3D7_0730500	PF3D7_0730500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2654990	Q8IBF4	
PF3D7_0730600	PF3D7_0730600.1	tRNA Valine	tRNA encoding	N/A	9221875	N/A	
PF3D7_0730700	PF3D7_0730700.1	tRNA Threonine	tRNA encoding	N/A	9221904	N/A	
PF3D7_0730800	PF3D7_0730800.1	Plasmodium exported protein, unknown function, unspecified product	protein coding	N/A	2654992	Q8IBF3	
PF3D7_0730800	PF3D7_0730800.2	Plasmodium exported protein, unknown function, unspecified product	protein coding	N/A	2654992	Q8IBF3	
PF3D7_0730900	PF3D7_0730900.1	EMP1-trafficking protein	protein coding	PTP4	2654993	Q8IBF2	
PF3D7_0731000	PF3D7_0731000.1	unspecified product	non protein coding	N/A	N/A	N/A	
PF3D7_0731100	PF3D7_0731100.1	EMP1-trafficking protein	protein coding	PTP2	2654994	Q8IBF1	
PF3D7_0731200	PF3D7_0731200.1	Plasmodium exported protein, unknown function	protein coding	N/A	2654995	Q8IBF0	
PF3D7_0731300	PF3D7_0731300.1	Plasmodium exported protein (PHISTb), unknown function	protein coding	PfG174	2654996	Q8IBE9	
PF3D7_0731400	PF3D7_0731400.1	serine/threonine protein kinase, FIKK family, pseudogene	protein coding	FIKK7.2	2654997	N/A	
PF3D7_0731500	PF3D7_0731500.1	erythrocyte binding antigen-175	protein coding	EBA175	2654998	Q8IBE8	
PF3D7_0731600	PF3D7_0731600.1	acyl-CoA synthetase	protein coding	ACS5	2655181	Q8I6Z1	
PF3D7_0731700	PF3D7_0731700.1	Plasmodium exported protein (hyp9), unknown function	protein coding	N/A	2654999	Q8IBE7	
PF3D7_0731800	PF3D7_0731800.1	alpha/beta hydrolase, putative	protein coding	GEXP08	2654938	C0H4Q4	
PF3D7_0731900	PF3D7_0731900.1	rifin, pseudogene	protein coding	RIF	9221876	N/A	
PF3D7_0732000	PF3D7_0732000.1	stevor	protein coding	N/A	2655182	Q8IBE5	
PF3D7_0732100	PF3D7_0732100.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene	protein coding	VAR	2654941	N/A	
PF3D7_0732200	PF3D7_0732200.1	rifin	protein coding	RIF	4794188	Q8IBE4	
PF3D7_0732300	PF3D7_0732300.1	rifin	protein coding	RIF	2654945	Q8IBE3	
PF3D7_0732400	PF3D7_0732400.1	rifin	protein coding	RIF	4794189	Q8IBE2	
PF3D7_0732500	PF3D7_0732500.1	rifin	protein coding	RIF	4794190	C0H4Q5	
PF3D7_0732600	PF3D7_0732600.1	Plasmodium exported protein, unknown function, fragment	protein coding	N/A	9221920	N/A	
PF3D7_0732700	PF3D7_0732700.1	rifin	protein coding	RIF	4794191	C0H4Q7	
PF3D7_0732800	PF3D7_0732800.1	erythrocyte membrane protein 1 (PfEMP1), exon 2	protein coding	N/A	2654943	C0H4Q8	
PF3D7_0732900	PF3D7_0732900.1	rifin	protein coding	RIF	4794192	Q8IBD9	
PF3D7_0733000	PF3D7_0733000.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	2654949	Q8IBD8	
PF3D7_0800100	PF3D7_0800100.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	4794199	Q8IAK1	
PF3D7_0800200	PF3D7_0800200.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	2655302	Q8IAK2	
PF3D7_0800300	PF3D7_0800300.1	erythrocyte membrane protein 1, PfEMP1	protein coding	VAR	2655305	Q8IAK3	
PF3D7_0800400	PF3D7_0800400.1	rifin	protein coding	RIF	N/A	N/A	
PF3D7_0800500	PF3D7_0800500.1	rifin	protein coding	RIF	2655306	Q8IAK4	
PF3D7_0800600	PF3D7_0800600.1	Plasmodium exported protein (PHISTa), unknown function	protein coding	N/A	2655361	Q8IAK5	
PF3D7_0800650	PF3D7_0800650.1	H/ACA snoRNA	snoRNA encoding	N/A	N/A	N/A	
PF3D7_0800700	PF3D7_0800700.1	surface-associated interspersed protein 8.3 (SURFIN 8.3)	protein coding	SURF8.3	2655360	C0H4Y2	
PF3D7_0800750	PF3D7_0800750.1	Plasmodium exported protein, unknown function, pseudogene	protein coding	N/A	N/A	N/A	
PF3D7_0800800	PF3D7_0800800.1	Plasmodium exported protein (hyp7), unknown function	protein coding	N/A	2655359	Q8IAK7	
PF3D7_0800900	PF3D7_0800900.1	Plasmodium exported protein (hyp7), unknown function, pseudogene	protein coding	N/A	2655358	C0H4Y3	
PF3D7_0801000	PF3D7_0801000.1	Plasmodium exported protein (PHISTc), unknown function	protein coding	N/A	2655336	Q8IAK9	
PF3D7_0801100	PF3D7_0801100.1	28S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0801200	PF3D7_0801200.1	5.8S ribosomal RNA	rRNA encoding	N/A	N/A	N/A	
PF3D7_0801300	PF3D7_0801300.1	von Willebrand factor A domain-related protein	protein coding	WARP	2655335	Q8IAL0	
PF3D7_0801400	PF3D7_0801400.1	probable protein, unknown function	protein coding	N/A	2655334	Q8IAL1	
PF3D7_0801500	PF3D7_0801500.1	nucleolar protein 10, putative	protein coding	NOL10	2655333	Q8IAL3	
PF3D7_0801600	PF3D7_0801600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655332	Q8IAL4	
PF3D7_0801700	PF3D7_0801700.1	sentrin-specific protease 2, putative	protein coding	SENP2	2655355	C0H4Y4	
PF3D7_0801800	PF3D7_0801800.1	mannose-6-phosphate isomerase, putative	protein coding	N/A	2655403	Q8IAL6	
PF3D7_0801900	PF3D7_0801900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655401	C0H4R0	
PF3D7_0802000	PF3D7_0802000.1	glutamate dehydrogenase, putative	protein coding	GDH3	2655330	Q8IAM0	
PF3D7_0802100	PF3D7_0802100.1	transcription factor with AP2 domain(s)	protein coding	ApiAP2	2655400	Q8IAM1	
PF3D7_0802200	PF3D7_0802200.1	1-cys peroxiredoxin	protein coding	1-CysPxn	2655354	Q8IAM2	
PF3D7_0802300	PF3D7_0802300.1	periodic tryptophan protein 2, putative	protein coding	PWP2	2655329	Q8IAM3	
PF3D7_0802400	PF3D7_0802400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655399	Q8IAM4	
PF3D7_0802500	PF3D7_0802500.1	inositol 5-phosphatase, putative	protein coding	N/A	2655398	C0H4Q9	
PF3D7_0802600	PF3D7_0802600.1	adenylyl cyclase beta	protein coding	ACbeta	2655397	C0H4R1	
PF3D7_0802700	PF3D7_0802700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655395	Q8IAM7	
PF3D7_0802800	PF3D7_0802800.1	serine/threonine protein phosphatase 2B catalytic subunit A	protein coding	CNA	2655328	Q8IAM8	
PF3D7_0802900	PF3D7_0802900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655372	C0H4R2	
PF3D7_0803000	PF3D7_0803000.1	peptidyl-prolyl cis-trans isomerase	protein coding	CYP81	2655327	Q8IAN0	
PF3D7_0803100	PF3D7_0803100.1	U3 small nucleolar RNA-associated protein 14, putative	protein coding	UTP14	2655326	Q8IAN1	
PF3D7_0803200	PF3D7_0803200.1	filament assembling protein, putative	protein coding	N/A	2655371	Q8IAN2	
PF3D7_0803300	PF3D7_0803300.1	mitogen-activated protein kinase organizer 1, putative	protein coding	MORG1	2655370	Q8IAN3	
PF3D7_0803400	PF3D7_0803400.1	DNA repair and recombination protein RAD54, putative	protein coding	RAD54	2655325	Q8IAN4	
PF3D7_0803500	PF3D7_0803500.1	AAA family ATPase, putative	protein coding	N/A	2655369	Q8IAN5	
PF3D7_0803600	PF3D7_0803600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655368	Q8IAN6	
PF3D7_0803700	PF3D7_0803700.1	tubulin gamma chain	protein coding	g-tub	2655324	Q8IAN7	
PF3D7_0803800	PF3D7_0803800.1	proteasome subunit beta type-4	protein coding	N/A	2655367	Q7K6A9	
PF3D7_0803900	PF3D7_0803900.1	C/D small nucleolar RNA	snoRNA encoding	N/A	N/A	N/A	
PF3D7_0804000	PF3D7_0804000.1	cactin homolog, putative	protein coding	N/A	2655323	Q8IAN8	
PF3D7_0804100	PF3D7_0804100.1	small nucleolar RNA snoR06	snoRNA encoding	N/A	N/A	N/A	
PF3D7_0804200	PF3D7_0804200.1	Plasmodium RNA of unknown function RUF3	non protein coding	N/A	N/A	N/A	
PF3D7_0804300	PF3D7_0804300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655408	Q8IAN9	
PF3D7_0804400	PF3D7_0804400.1	methionine aminopeptidase 1c, putative	protein coding	METAP1c	2655407	Q8IAP0	
PF3D7_0804500	PF3D7_0804500.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655405	Q8IAP1	
PF3D7_0804600	PF3D7_0804600.1	U2 snRNA/tRNA pseudouridine synthase, putative	protein coding	N/A	2655322	C0H4R3	
PF3D7_0804700	PF3D7_0804700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655321	Q8IAP3	
PF3D7_0804800	PF3D7_0804800.1	peptidyl-prolyl cis-trans isomerase	protein coding	CYP24	2655320	Q8I6S4	
PF3D7_0804900	PF3D7_0804900.1	GTPase-activating protein, putative	protein coding	N/A	2655319	Q8IAP4	
PF3D7_0805000	PF3D7_0805000.1	alpha/beta hydrolase, putative	protein coding	N/A	2655404	C0H4R4	
PF3D7_0805100	PF3D7_0805100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655226	Q8IAP6	
PF3D7_0805200	PF3D7_0805200.1	gamete release protein, putative	protein coding	GAMER	2655318	Q8IAP7	
PF3D7_0805300	PF3D7_0805300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655317	Q8IAP8	
PF3D7_0805400	PF3D7_0805400.1	acetyltransferase, putative	protein coding	N/A	9221952	C0H4R5	
PF3D7_0805500	PF3D7_0805500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221934	C0H4R6	
PF3D7_0805600	PF3D7_0805600.1	PAP2-like protein, putative	protein coding	N/A	9221935	C0H4R7	
PF3D7_0805700	PF3D7_0805700.1	serine/threonine protein kinase, FIKK family	protein coding	FIKK8	9221936	C0H4R8	
PF3D7_0805800	PF3D7_0805800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655225	C0H4R9	
PF3D7_0805900	PF3D7_0805900.1	conserved protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0806000	PF3D7_0806000.1	AAA family ATPase, putative	protein coding	N/A	2655316	C0H4S0	
PF3D7_0806100	PF3D7_0806100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655315	Q8IAQ1	
PF3D7_0806200	PF3D7_0806200.1	C-mannosyltransferase, putative	protein coding	N/A	2655410	C0H4S1	
PF3D7_0806300	PF3D7_0806300.1	ferlin, putative	protein coding	N/A	2655409	C0H4S2	
PF3D7_0806400	PF3D7_0806400.1	glycosyltransferase family 28 protein, putative	protein coding	N/A	2655224	Q8IAQ4	
PF3D7_0806500	PF3D7_0806500.1	DnaJ protein, putative	protein coding	N/A	2655314	Q8IAQ5	
PF3D7_0806600	PF3D7_0806600.1	kinesin-like protein, putative	protein coding	N/A	2655223	C0H4S3	
PF3D7_0806700	PF3D7_0806700.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655313	C0H4S4	
PF3D7_0806800	PF3D7_0806800.1	vacuolar proton translocating ATPase subunit A, putative	protein coding	N/A	4794196	Q8IAQ8	
PF3D7_0806900	PF3D7_0806900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655312	Q8IAQ9	
PF3D7_0807000	PF3D7_0807000.1	gas41 homologue, putative	protein coding	N/A	2655220	C0H4S5	
PF3D7_0807100	PF3D7_0807100.1	ATP-dependent RNA helicase DHH1, putative	protein coding	DHH1	2655311	Q8IAR1	
PF3D7_0807200	PF3D7_0807200.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	2655219	C0H4S6	
PF3D7_0807300	PF3D7_0807300.1	ras-related protein Rab-18	protein coding	RAB18	2655310	Q7K6B0	
PF3D7_0807400	PF3D7_0807400.1	coenzyme Q-binding protein COQ10 homolog, mitochondrial	protein coding	COQ10	9221959	C0H4S7	
PF3D7_0807500	PF3D7_0807500.1	proteasome subunit alpha type-6, putative	protein coding	N/A	2655251	Q8IAR3	
PF3D7_0807600	PF3D7_0807600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655250	C0H4S8	
PF3D7_0807700	PF3D7_0807700.1	serine protease DegP	protein coding	DegP	2655249	Q8IAR5	
PF3D7_0807800	PF3D7_0807800.1	26S proteasome regulatory subunit RPN10, putative	protein coding	RPN10	2655309	Q8IAR6	
PF3D7_0807900	PF3D7_0807900.1	tyrosine--tRNA ligase	protein coding	TyrRS	2655248	Q8IAR7	
PF3D7_0808000	PF3D7_0808000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	2655246	C0H4S9	
PF3D7_0808100	PF3D7_0808100.1	AP-3 complex subunit delta, putative	protein coding	N/A	2655245	C0H4T0	
PF3D7_0808200	PF3D7_0808200.1	plasmepsin X	protein coding	N/A	2655308	Q8IAS0	
PF3D7_0808300	PF3D7_0808300.1	ubiquitin regulatory protein, putative	protein coding	N/A	2655242	Q8IAS1	
